"","Event description","LocationLon","LocationLat","Severest event","Job satisfaction","Age","t1copeaccept","t1copeact","t1copeblame","t1copedenial","t1copediseng","t1copedistr","t1copeemosup","t1copehumor","t1copeinssup","t1copeplan","t1coperefram","t1copevent","Event disruptiveness","Education level","t1emotions","t1found","t1gender","t1jobsa","t1jobstr","t1lang","t1location","t1meansev","Event novelty","t1occ","Co-ownership","Event performance impact","t1preocc","Problem solved","Industry","t1threat","Business age","t1wofa","t2copeaccept","t2copeact","t2copeblame","t2copedenial","t2copediseng","t2copedistr","t2copeemosup","t2copehumor","t2copeinssup","t2copeplan","t2coperefram","t2copevent","t2disrup","t2emotionslast","t2evcat","t2jobsa","t2jobstr","t2novel","t2perfo","t2profskill","t2threat","t2threatlast","t2wofa","t3copeaccept","t3copeact","t3copeblame","t3copedenial","t3copediseng","t3copedistr","t3copeemosup","t3copehumor","t3copeinssup","t3copeplan","t3coperefram","t3copevent","t3disrup","t3emotionslast","t3evcat","t3jobsa","t3jobstr","t3novel","t3perfo","t3threat","t3threatlast","t3wofa","ID_code","Average event severity","Job strain"
"41","I could not supply the material as per my commitment date, because of non supply of material from our vendor.",77.2197875976562,28.6327056884766,6,5,45,1.5,3.5,1,1.5,1.5,2.5,2.5,1.5,3.5,4,3.5,2.5,3,4,2.46666666666667,1,1,0.630203644527429,1.66666666666667,1,2,3.33333333333333,3,1,2,4,NA,4,5,2.33333333333333,854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1043,3,2
"42","Wrong product delivered",NA,NA,7,5,20,3,4,1,1,2,1,1,1,3,2.5,2,1,2,2,1.2,1,1,0.112037433996481,1.5,3,2,3,2,3,1,5,NA,5,1,4,-212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22222222222222,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,NA,NA,NA,NA,NA,NA,5,NA,1044,3,2
"43","A pump which was newly procured showed a minor malfunction.",NA,NA,6,5,33,4,3.5,1,1,3,1,3,1,3.5,4,1.5,1.5,3,5,2.2,1,1,0.612986023271713,1.5,1,2,3.33333333333333,2,1,2,5,NA,3,1,3,792,NA,3,3,1.5,1,1,1,3,1,3.5,4,3,1.5,4,2.44444444444444,1,-0.564441162447391,1.66666666666667,4,5,2.5,3.33333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55555555555556,NA,NA,NA,NA,NA,NA,4.33333333333333,NA,1045,3,2
"44","We have partnered with Village Forest Management Committe to provide the space for setting our mini-processing unit. Now with change in leadership at District level. District forest department decided to provide the new venue and not the old which they used to give us for last 3 years.",75.7928009033203,26.9261016845703,2,4,39,3,4,1.5,1,1,3,3,1,4,4,3.5,2,5,6,2.33333333333333,1,1,-0.582627670691281,1.83333333333333,3,2,3,1,1,2,3,NA,3,6,1.66666666666667,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1046,3,2
"45","We were having very less working capital.",NA,NA,1,5,24,2.5,3,2,1,3,1,1,1,1,3,2,2,5,4,2.33333333333333,1,1,0.424763534803552,1.33333333333333,3,2,3,1,1,1,3,NA,3,6,3.33333333333333,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048,3,1
"46","I'm feeling that we need a few more people in our team to cope with logistics, marketing, and compliance management.",75.7928009033203,26.9261016845703,5,4,27,4,3.5,1,1,1,2.5,1.5,1,3.5,4,3,1,5,4,4.2,1,1,-1.44784155594094,3.16666666666667,3,2,4.5,5,1,2,5,NA,3,6,2.66666666666667,366,NA,3.5,4,1,1,1,2,2.5,1,3,4,3,1,5,4.33333333333333,1,-1.36032906608553,3.5,6,5,3.625,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1049,4,3
"47","I was in the process of closing a financing round and due to novel COVID-19 regulations this could not be done in person. We had to coordinate signatures from within and outside the Netherlands and the filing of all documents got a bit complicated.",4.96549987792969,52.3367004394531,4,4,30,4,4,1,1,2,1,2,1,3.5,4,1.5,1.5,5,5,4.46666666666667,1,1,-0.444067914215817,4,3,1,3.16666666666667,1,1,2,5,NA,5,3,4.33333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55555555555556,NA,NA,NA,NA,NA,NA,NA,4.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77777777777778,NA,-0.483968726265332,1.83333333333333,NA,NA,NA,4,NA,1050,3,4
"48","Postponing of potential investor negotiations could lead to financial difficulties towards the end of the year.",5.67730712890625,52.0433959960938,1,2,42,2.5,2.5,1.5,1,1,2.5,1,1,2.5,3,2.5,2,3,4,3.4,1,1,-2.11684059078059,2.5,2,1,3.66666666666667,4,1,1,4,NA,2,6,2.33333333333333,884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1051,4,2
"49","I closed down my office so I can save money by working from home.",6.56640625,53.2221984863281,1,3,26,3.5,4,3.5,1,1.5,4,1.5,1.5,1,4,4,2,5,4,3.33333333333333,1,1,-1.29966200552837,2.16666666666667,2,1,3.66666666666667,1,1,1,5,NA,4,1,4,-151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,-1.11459941807639,1.83333333333333,NA,NA,2.75,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1052,4,2
"50","Powersupply burned out.",6.61579895019531,53.1692962646484,6,5,67,3,3,2,1.5,1,2.5,3,2,3,3,2,2,5,4,NA,1,1,NA,1.83333333333333,2,1,3,1,1,1,3,NA,1,1,1,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22222222222222,NA,NA,NA,NA,NA,NA,NA,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11111111111111,NA,NA,NA,NA,NA,NA,1,NA,1053,3,2
"51","A member of the company I do a project for had no time this week to finish the agreed task.",7.00810241699219,53.1038970947266,5,4,34,4,1,2,1,1,1,1,1,1,1,2,1,4,4,1.26666666666667,1,2,-0.0253408362700508,1.66666666666667,2,1,3.33333333333333,4,1,1,2,NA,2,3,1.33333333333333,731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1054,3,2
"52","Rules of partner eligibility and cost eligibility within a granted EU subsidy",6.5614013671875,53.0177001953125,4,5,38,3,4,1.5,1,1,3,4,1.5,3.5,4,2.5,1.5,5,5,2.86666666666667,1,1,0.452523264161682,1.66666666666667,3,1,4.16666666666667,4,1,2,5,NA,1,1,4.66666666666667,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44444444444444,NA,0.000240336910248088,1.66666666666667,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1055,4,2
"53","We are developing our own platform and due to some mistakes it was down for a few days (luckily, the platform is not really used yet).",6.53419494628906,53.2257995605469,7,5,25,4,4,3,1,1.5,1,1,2.5,1.5,3,2.5,1.5,5,4,2,1,1,0.779305509105307,1.33333333333333,2,1,3.33333333333333,2,1,2,3,NA,5,1,1.66666666666667,1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1056,3,1
"54","Difficulty with online meetings",6.62199401855469,53.2389068603516,8,5,31,4,3,1,1,1.5,3,2,2,3,2.5,1.5,1.5,3,4,2.46666666666667,1,1,0.875583164571325,1.5,3,1,3,4,1,1,2,NA,3,1,2.66666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057,3,2
"55","A client was not in favor of implementing some advise I gave",6.56170654296875,53.1504974365234,2,4,37,2.5,2,1.5,1,1,1,2,3,1.5,1.5,1.5,1,3,5,1.2,1,1,0.0783174501792187,1.33333333333333,2,1,2.66666666666667,3,1,1,2,NA,4,2,1,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1058,3,1
"56","Due to miscommunications, we put in much effort for a project, that gained us only a small donation.",6.56640625,53.2221984863281,5,3,26,3,1,2,1,1,3,3,2,3,3,2.5,2.5,2,2,2,1,1,-0.886791654306169,1.83333333333333,3,4,1.66666666666667,2,3,2,1,NA,4,3,1,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1059,2,2
"57","Absence of necessary construction workers at the site",6.54330444335938,53.2274932861328,5,5,22,4,4,1,1,1,1.5,2,1,2,4,2,1.5,3,3,1.53333333333333,1,2,0.693217402826728,1.5,3,4,3,2,3,2,4,NA,4,3,1.66666666666667,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060,3,2
"58","We were not sure if we want to focus on only one task or diversify into starting a new difficult project",37.6177062988281,55.7481994628906,3,4,20,3,2.5,1.5,1,1,2.5,2.5,1,3,3,3.5,1.5,3,2,2.53333333333333,1,2,0.0443484351825499,1.83333333333333,1,3,3,1,3,2,5,NA,5,6,2.66666666666667,-273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1061,3,2
"59","people were sick",11.9593963623047,51.5036010742188,5,4,25,3,2.5,2.5,2.5,2.5,3,2,3,2.5,2,2.5,3,2,3,NA,1,1,-0.868651718885147,2.83333333333333,2,3,2,2,3,1,2,NA,4,6,3,-31,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1063,2,3
"60","I am teaching pupils who are between 12 and 19 years old. Sometimes they spontaneously cancel classes. I encounter this a problem since I am organizing and structuring the lessons quite well while also writing my bachelor thesis at the moment. Therefore, this causes stress for me and the business.",8.41140747070312,54.8610992431641,2,5,20,2.5,3,4,1.5,1,3,4,2,4,4,1,2.5,4,2,2.46666666666667,1,2,0.607129296548149,1.16666666666667,3,4,4.33333333333333,4,3,1,5,NA,2,3,4.66666666666667,-214,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1064,4,1
"61","Lieferanten waren sehr unzuverlässig",9.9158935546875,53.5888061523438,6,5,21,3,4,2,1,1,2,2,1.5,2,3.5,2,2,4,6,2.86666666666667,1,1,0.773448782381743,1.66666666666667,3,4,3.33333333333333,2,3,2,4,NA,4,3,3.66666666666667,974,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1065,3,2
"62","A client is asking for a LOGO idea. But my work is not entirely aligned with their expectations. My design concept is usually abstract and contemporary, whereas the client wanted something more commercial-looking.",113.25390625,23.1181030273438,2,2,24,4,3,1,1,2,2.5,4,3,2,2,3.5,2,3,4,1.93333333333333,1,2,-1.45660058774004,1.83333333333333,3,3,3.66666666666667,5,1,1,3,NA,3,3,2.66666666666667,334,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1066,4,2
"63","My partner told me that he no longer can take responsibility for things to do for our brand. This means that i have to take everything on myself. It was also hard to feel that he is letting go in a way of something we've built together.",6.56790161132812,53.2328948974609,2,4,26,4,2,1,1,1,1,1,1.5,1,2,3.5,2,4,4,1.66666666666667,1,2,0.412946553620857,1,1,1,3,1,5,2,4,NA,4,4,3.33333333333333,28,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1067,3,1
"64","Certain colleagues do not do their part in projects, causing delays and overall tensions with the coworkers",9.21989440917969,45.5050048828125,2,4,22,3,2,1,1,1.5,2.5,3,3,2,1.5,1,1.5,3,4,3,1,1,0.0309974088759473,1.33333333333333,3,4,3,4,3,2,2,NA,2,3,3,912,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3.33333333333333,NA,1068,3,1
"65","Issues with legal documents that postpone important due dates",37.6177062988281,55.7481994628906,6,5,20,2,3.5,1.5,1,1,3,2,1.5,2,2,3.5,1,4,2,2.4,1,2,0.127731150992509,2.83333333333333,1,3,3,2,3,2,3,NA,2,3,1.33333333333333,-245,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1069,3,3
"66","Manufacturing communication problems and delays.",6.56640625,53.2221984863281,6,5,24,2.5,2,1,1,1,1,2,2,1,2.5,1.5,2.5,2,4,2.06666666666667,1,1,0.538611370440261,1.16666666666667,3,1,2.66666666666667,4,3,2,4,NA,2,1,3.66666666666667,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11111111111111,NA,0.572348792231336,1.5,NA,NA,3.125,NA,3.66666666666667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070,3,1
"67","work with other people",2.17559814453125,41.3948974609375,7,3,21,3.5,3,3.5,1.5,2,2.5,3.5,1.5,3.5,3,2.5,3,4,3,3.26666666666667,2,2,-1.01235294339001,3.5,3,6,3.66666666666667,3,3,2,4,NA,3,2,3.66666666666667,0,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1071,4,4
"68","The customer was not happy with he's pasta. It was an opinion problem. He said the chicken was too dry and wanted hes money back.",4.47770690917969,51.9474945068359,7,5,33,4,2.5,1,1,1,1,1,3,1,1,3.5,1,3,6,1.2,1,1,0.939768268215337,1.16666666666667,3,1,2.33333333333333,2,1,1,2,NA,5,5,1.66666666666667,943,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073,2,1
"69","I had a discussion with my colleague about our working hours. We had different ideas about the time we wanted to spend in our label.",10.1360015869141,54.3155059814453,2,4,23,3.5,4,3,1.5,2,3,3,2,3,4,3.5,2.5,3,4,3.06666666666667,1,1,-0.0938587623779388,1.5,3,4,3.33333333333333,3,3,2,4,NA,4,5,3.33333333333333,304,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1074,3,2
"70","Problem: Outbreak limiting the movement of agents.",4.89750671386719,52.3759002685547,6,3,36,3,3,1,1,1,1,1,1,2,3,3,1,3,5,1.8,1,1,-0.997478012823715,1,1,3,2.33333333333333,1,1,2,3,NA,3,2,1,2616,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22222222222222,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,-0.910449833112276,1,NA,NA,NA,1.66666666666667,1.33333333333333,1075,2,1
"71","Unsuccesful sales talk with potential client",6.53419494628906,53.2257995605469,8,4,22,3,3.5,1.5,1,1,3,2,1.5,3.5,3.5,2.5,2,3,2,2.8,1,1,0.183613309487964,1,3,1,3.33333333333333,4,3,2,3,NA,4,2,1,-184,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1076,3,1
"72","colleagues quits suddenly and leaved the company",13.2951049804688,52.4777069091797,2,5,38,3.5,3.5,1,1,1,1,4,2,3,1,4,2.5,4,4,2.2,1,1,0.801208511739873,1.33333333333333,3,4,3.33333333333333,3,1,2,3,NA,5,2,3.33333333333333,790,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1077,3,1
"73","Customers do not abide by Corona rules must be constantly admonished that food & drinks are not to be consumed outside the cafe. In the event of a complaint, a heavy fine may be imposed.",10.1156005859375,53.6470947265625,2,5,51,2.5,3,1,1.5,1,2,3,4,1,4,3.5,2,4,2,1.8,1,2,0.911189752427469,1.33333333333333,3,4,3.66666666666667,5,5,1,2,NA,4,3,2.33333333333333,609,4.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55555555555556,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078,4,1
"74","A customer relocating half of our contracted work",-0.828399658203125,52.2776947021484,8,4,23,2,3.5,1.5,1,1.5,2.5,2,2,2,3.5,1.5,1.5,3,2,2.2,2,1,-0.254321521487969,1.33333333333333,1,7,3.33333333333333,2,1,2,5,NA,1,5,3.66666666666667,7364,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44444444444444,NA,NA,NA,NA,NA,NA,NA,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22222222222222,NA,0.1654397868797,1.16666666666667,NA,NA,NA,2,2.33333333333333,1079,3,1
"75","I played a Video streaming concert and the people from the location secretly continued filming after the concert and wanted to publish me singing other stuff for fun without my permission. I wasn‘t sure if this was good enough.",9.98829650878906,53.5886993408203,2,4,32,3,3.5,2,1,1,1.5,4,2,1.5,3,3,1.5,4,4,1.93333333333333,1,2,0.542488106253594,1.5,3,4,3.33333333333333,4,2,1,2,NA,5,3,1,1155,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080,3,2
"76","to have miscalculated something, Account needs to be topped up again",8.41700744628906,49.0066986083984,1,4,24,1,3.5,2,2.5,1,3,3,1,2,4,2,2,4,4,1.46666666666667,2,2,0.473617621230731,1,3,4,2.83333333333333,2,3,2,3,NA,3,3,1.33333333333333,212,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1081,3,1
"77","Clients don't accept the common conditions of the setting.",8.73989868164062,48.7089996337891,2,5,58,2.5,3,1.5,1,1,3,3.5,1,2.5,3.5,2.5,1.5,4,4,1.2,1,2,0.968346784003205,1.16666666666667,3,4,3,2,1,1,3,NA,5,3,1.33333333333333,2892,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1082,3,1
"78","I had a problem when pitching the project to a potential investor. We had not yet acquired a patent for the software, as this is very difficult, and the investor misunderstood our request and offered a collaboration instead of financial aid. This made us afraid that he my raise claims.",30.5287017822266,50.4521942138672,4,4,28,1.5,4,2,1,1,1,2,1,4,3,2,2,5,4,3.06666666666667,1,1,-0.426497734045127,1.83333333333333,3,4,3.66666666666667,2,3,2,4,NA,2,1,3.66666666666667,-244,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083,4,2
"79","A contact has turned down to take over the business",-4.88380432128906,36.514892578125,1,2,47,3,2.5,2.5,1,1,1,2,1,2,3.5,2.5,1,4,4,3.06666666666667,1,1,-1.47381820899576,2,3,3,3,1,2,1,4,NA,1,3,4,974,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55555555555556,NA,-1.61001621015358,2,NA,NA,3.5,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81514316111471,1.5,NA,NA,NA,NA,2,1084,3,2
"80","Due to a lack of sales we have used up a part of the capital",8.53500366210938,52.0274047851562,1,5,58,2,4,3,1,3,2.5,3.5,1,3,4,3.5,2.5,4,2,3.26666666666667,1,1,0.612986023271713,1.16666666666667,3,4,4,3,1,2,5,NA,4,2,4,821,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1085,4,1
"81","had an argument with a client",13.6909942626953,51.0830993652344,2,4,20,2.5,2.5,3,2,2.5,3,2,3,2,2,2.5,2,2,2,1.6,1,3,-1.05336017131917,2.16666666666667,2,2,3.33333333333333,4,2,2,4,NA,4,2,2.66666666666667,1310,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086,3,2
"82","Conflict with one of the co-owners about finishing tasks on time.",6.56900024414062,53.206298828125,2,5,21,3.5,3,3,1,1,1,1,3,2,2,1,1.5,3,3,1.6,1,1,NA,1.33333333333333,2,1,3,3,3,2,3,NA,5,4,1,731,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088,3,1
"83","My supplier and I could not reach a fair price for his services.",6.51080322265625,53.2333984375,2,5,52,3,3,1,1,1,3,1.5,1,2,3,2.5,1,3,4,2,1,2,0.378148611330231,1,2,1,2.66666666666667,2,2,1,3,NA,3,2,2.66666666666667,273,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1089,3,1
"84","Client gave a brief on a project. We started the presentations etc  and then we’re told that he does not have the funds to pay us",55.3087005615234,25.2633056640625,1,2,60,3,4,1,1,1,1.5,1.5,2,2,4,3,1.5,4,2,1.13333333333333,1,1,-0.526382812416632,2,1,3,4,4,1,2,4,NA,4,2,2,3045,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090,4,2
"85","Stuggling to find investment for scaling up the business",6.56219482421875,53.1941986083984,1,5,27,2.5,3.5,2.5,1.5,1.5,2.5,3,2.5,4,4,3,2.5,4,4,3,1,1,0.756231161126027,2.33333333333333,1,1,4,3,3,2,5,NA,2,7,4,792,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1091,4,2
